paket_numarasi,uydu_statusu,hata_kodu,gonderme_saat,basinc1,basinc2,yukseklik1,yukseklik2,irtifa_farki,inis_hizi,sicaklik,pil_gerilim,gps_latitude,gps_longitude,gps_altitude,pitch,yaw,roll,takim_no,video_aktarim_bilgisi
27,0,1/1/0/0/0,Time,92726,0,741.84,0,741.84,0.3600000000000136,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
28,0,1/1/0/0/0,Time,92732,0,741.31,0,741.31,0.5300000000000864,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
29,0,1/0/0/0/0,Time,92724,0,742.02,0,742.02,-0.7100000000000364,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
30,0,1/1/0/0/0,Time,92730,0,741.49,0,741.49,0.5299999999999727,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
31,0,1/1/0/0/0,Time,92731,0,741.4,0,741.4,0.0900000000000318,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
32,0,1/1/0/0/0,Time,92731,0,741.4,0,741.4,0.0,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
33,0,1/1/0/0/0,Time,92734,0,741.13,0,741.13,0.2699999999999818,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
34,0,1/1/0/0/0,Time,92738,0,740.77,0,740.77,0.3600000000000136,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
35,0,1/0/0/0/0,Time,92725,0,741.93,0,741.93,-1.1599999999999682,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
36,0,1/1/0/0/0,Time,92729,0,741.57,0,741.57,0.3599999999998999,16.6,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
37,0,1/0/0/0/0,Time,92719,0,742.47,0,742.47,-0.8999999999999773,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
38,0,1/1/0/0/0,Time,92727,0,741.75,0,741.75,0.7200000000000273,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
39,0,1/0/0/0/0,Time,92723,0,742.11,0,742.11,-0.3600000000000136,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
40,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.1800000000000636,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
41,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.0,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
42,0,1/0/0/0/0,Time,92723,0,742.11,0,742.11,-0.1800000000000636,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
43,0,1/1/0/0/0,Time,92727,0,741.75,0,741.75,0.3600000000000136,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
44,0,1/1/0/0/0,Time,92733,0,741.22,0,741.22,0.5299999999999727,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
45,0,1/0/0/0/0,Time,92724,0,742.02,0,742.02,-0.7999999999999545,16.5,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
46,0,1/0/0/0/0,Time,92720,0,742.38,0,742.38,-0.3600000000000136,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
47,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.4500000000000455,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
48,0,1/1/0/0/0,Time,92732,0,741.31,0,741.31,0.6200000000000045,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
49,0,1/0/0/0/0,Time,92725,0,741.93,0,741.93,-0.6200000000000045,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
50,0,1/1/0/0/0,Time,92729,0,741.57,0,741.57,0.3599999999998999,16.4,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
51,0,1/0/0/0/0,Time,92726,0,741.84,0,741.84,-0.2699999999999818,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
52,0,1/0/0/0/0,Time,92724,0,742.02,0,742.02,-0.1799999999999499,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
53,0,1/0/0/0/0,Time,92720,0,742.38,0,742.38,-0.3600000000000136,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
54,0,1/1/0/0/0,Time,92725,0,741.93,0,741.93,0.4500000000000455,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
55,0,1/1/0/0/0,Time,92726,0,741.84,0,741.84,0.0899999999999181,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
56,0,1/0/0/0/0,Time,92723,0,742.11,0,742.11,-0.2699999999999818,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
57,0,1/1/0/0/0,Time,92727,0,741.75,0,741.75,0.3600000000000136,16.3,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
58,0,1/0/0/0/0,Time,92722,0,742.2,0,742.2,-0.4500000000000455,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
59,0,1/1/0/0/0,Time,92728,0,741.66,0,741.66,0.5400000000000773,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
60,0,1/0/0/0/0,Time,92725,0,741.93,0,741.93,-0.2699999999999818,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
61,0,1/0/0/0/0,Time,92718,0,742.56,0,742.56,-0.6299999999999955,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
62,0,1/1/0/0/0,Time,92724,0,742.02,0,742.02,0.5399999999999636,16.2,0,39.94623715221963,32.69056253482102,0,0.0,0.0,0.0,134101,2.0
